OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
10905,Atlantic Ocean,Mediterranean Sea,Eastern Basin,Manta net,0.613333,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,34.816,26.13,3/21/2019 12:00:00 AM,2b71058e-3a34-486e-877c-ede042323380,26.1300000000001,34.816
10906,Atlantic Ocean,Mediterranean Sea,Eastern Basin,Manta net,0.6,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,36.086,28.22,3/22/2019 12:00:00 AM,cbc42662-9513-41bd-8df9-2a1869fc90e5,28.22,36.0860000000001
10907,Atlantic Ocean,Mediterranean Sea,Eastern Basin,Manta net,1.173333,pieces/m3,1-10,High,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,36.023,29.562,3/22/2019 12:00:00 AM,c646b006-b2b2-4ba1-8d88-44721e1fd699,29.5620000000001,36.023
10908,Atlantic Ocean,Mediterranean Sea,Aegean Sea,Manta net,0.133333,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,36.806,23.468,3/19/2019 12:00:00 AM,7d06dd4d-de1f-4fa1-abe9-6c89e43b0a30,23.4680000000001,36.806
10909,Atlantic Ocean,Mediterranean Sea,Aegean Sea,Manta net,2.5,pieces/m3,1-10,High,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,36.12,25.227,3/19/2019 12:00:00 AM,48dfb178-e022-4467-8cf3-db806004b152,25.227,36.1200000000001
10910,Atlantic Ocean,Mediterranean Sea,Aegean Sea,Manta net,0.9,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,35.742,26.212,3/20/2019 12:00:00 AM,d64d12d2-8c14-4502-849d-db4b01e42725,26.212,35.7420000000001
10934,Arctic Ocean,Barents Sea,,Neuston net,0.017999,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,69.558611,47.705556,9/19/2019 12:00:00 AM,09428fea-c0d2-470d-9676-23ebbd5de3ac,47.7055560000001,69.558611
10935,Arctic Ocean,Barents Sea,,Neuston net,0.0045,pieces/m3,0.0005-0.005,Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,69.823889,50.555278,9/19/2019 12:00:00 AM,c96ab6b2-bbc4-4451-9a9c-1c0a45a11122,50.555278,69.8238890000001
10936,Arctic Ocean,Kara Sea,,Neuston net,0.013499,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,72.155833,63.105278,9/21/2019 12:00:00 AM,7f78c686-f3e0-4139-aade-2b43ed8147cc,63.1052780000001,72.155833
10937,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,72.214722,63.281389,9/21/2019 12:00:00 AM,10bc52c5-0f9a-4ec7-8d65-d7ed3659cd9a,63.281389,72.2147220000001
10938,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,73.277778,66.813889,9/21/2019 12:00:00 AM,6eb89d5b-1073-4210-841e-a7ddd22b3967,66.8138890000001,73.2777780000001
10939,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,73.350556,66.885,9/21/2019 12:00:00 AM,83d47ecc-6fac-4f77-a746-0dd4830ea406,66.885,73.350556
10940,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,73.671111,69.8025,9/22/2019 12:00:00 AM,7ff19247-fe21-4fcb-bbc2-b1e09a8f8b85,69.8025000000001,73.6711110000001
10941,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,73.852778,72.996389,9/22/2019 12:00:00 AM,4dea5d7d-9472-4fd3-b337-50a370be0f3d,72.9963890000001,73.8527780000001
10942,Arctic Ocean,Kara Sea,,Neuston net,0.013499,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,73.834444,78.816667,9/22/2019 12:00:00 AM,90b0220b-bde1-46f4-9749-7c2581ed778b,78.8166670000001,73.8344440000001
10943,Arctic Ocean,Kara Sea,,Neuston net,0.022498,pieces/m3,0.005-1,Medium,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,74.863833,84.502333,9/23/2019 12:00:00 AM,d376730e-78b6-4a41-83ff-3c6d03f5d028,84.5023330000001,74.8638330000001
10944,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,76.1895,88.6255,9/23/2019 12:00:00 AM,fa5d3dc2-959b-4d62-a02b-a558ba5b373f,88.6255,76.1895000000001
10945,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,77.150917,95.6137,9/24/2019 12:00:00 AM,c29b627f-0a79-4281-a0e4-df86fc9f1dde,95.6137000000001,77.150917
10946,Arctic Ocean,Kara Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,77.6422,102.556917,9/24/2019 12:00:00 AM,e41e9715-265e-44da-a167-e9cb7e5ad49e,102.556917,77.6422000000001
10947,Arctic Ocean,Laptev Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,77.85345,107.355183,9/25/2019 12:00:00 AM,202ad10b-e14f-4d14-a962-71d0cde6668a,107.355183,77.8534500000001
10948,Arctic Ocean,Laptev Sea,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Yakushev et al.2021,"Yakushev, E., A., Gebruk, A. Osadchiev, S. Pakhomova, A. Lusher, A. Berezina, B. van Bavel, E. Vorozheikina, D. Chernykh, G. Kolbasova, I. Razgon and I. Semiletov. 2021. Microplastics distribution in the Eurasian Arctic is affected by Atlantic waters and Siberian rivers. Communications Earth and Environment 2, 23. https://doi.org/10.1038/s43247-021-00091-0",https://doi.org/10.1038/s43247-021-00091-0,Norwegian Institute for Water Research,RV Akademik Mstislav Keldysh,259526,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259526,77.14559,121.28344,9/25/2019 12:00:00 AM,4d95e59c-ee6b-4d11-ae58-225474c2be6d,121.28344,77.1455900000001
