Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,18799444490.1128
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,15401826127.2539
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,193459662090.677
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,647000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3155149347.80639
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,70897962732.0277
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1725351851.85185
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,447754683615.225
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,13619290539.2116
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,3395798882.68156
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1394671325960.57
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,444596155845.254
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,48174235294.1176
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,13016200000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,38653318085.1064
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,351231655150.827
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,5367139250
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,64410122847.3508
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,535865804349.803
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2386792476.10637
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,14390708751.025
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,7423465000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2735683408.57651
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,40895322850.9407
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,20482608755.379
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,16725908148.5481
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1873288205186.45
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,13469235364.7032
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,68881010245.5498
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,16032813501.6639
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2576518879.82353
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2252177124.32402
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,27089390032.798
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,39667757527.6578
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1743725183672.52
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,5941896599.57333
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,2221301351.43918
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,11314951091.7283
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,9921386549.99805
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,278285058719.466
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,14279968506271.7
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,323031701192.84
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1195019531.9011
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,51775829877.2088
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,13976637328.8474
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,64417670521.1842
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,60382894697.3557
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,61867157679.3215
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,103427600000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3026124134.07821
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,25947020102.4332
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,252548179964.897
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,346498737961.635
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,3088853638.56832
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,611537037.037037
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,88941372558.2397
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,107595829000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,318678815489.749
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,26881140000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,11364133549.7478
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,31290453293.545
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,4495267265.76464
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,95912607722.3032
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,3266432734.22819
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,5444407198.13478
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,268514916972.549
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2728870246705.88
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,6022276196.13871
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,16874405460.1955
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,1813609692.49994
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,17638337116.9126
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3889177589254.9
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,68337969247.7067
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,205252760889.364
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,2997309971.87623
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,1213485185.18519
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,6355000000
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,77172317258.6478
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,13442861496.4128
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,1486476582.06759
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,5173760191.84652
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,15016090929.5125
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,24882225741.8119
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,363074545072.389
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,164020460331.659
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,24681343649.2952
GDP (current US$),NY.GDP.MKTP.CD,India,IND,2835606256558.84
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,1119099871350.2
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,283649531542.741
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,233636097800.338
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,398933010007.356
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,7314967866.28289
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,402470513619.148
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2011302198827.45
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,15830766531.1474
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,5117993853016.51
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,44502816901.4085
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,181667184854.501
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,100378436207.371
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,216891541.021351
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1651422932447.77
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,7899737577.47286
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,138696321087.864
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,9371275264.36735
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,18740561512.5555
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,34225547537.0745
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,51605959131.2741
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2390702295.82777
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,3319596500
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,72081962263.1794
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,6436467007.11932
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,54808531641.4117
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,69890505323.5842
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,55082293844.1008
